CLAIM3YEARS,BUS_USE,CLERICAL,AD_BUILDINGS,RISK_RATED_AREA_B,SUM_INSURED_BUILDINGS,NCD_GRANTED_YEARS_B,AD_CONTENTS,RISK_RATED_AREA_C,SUM_INSURED_CONTENTS,NCD_GRANTED_YEARS_C,CONTENTS_COVER,BUILDINGS_COVER,SPEC_SUM_INSURED,SPEC_ITEM_PREM,UNSPEC_HRP_PREM,P1_POLICY_REFUSED,P1_SEX,APPR_ALARM,APPR_LOCKS,BEDROOMS,ROOF_CONSTRUCTION,WALL_CONSTRUCTION,FLOODING,LISTED,MAX_DAYS_UNOCC,NEIGH_WATCH,OWNERSHIP_TYPE,PAYING_GUESTS,PROP_TYPE,SAFE_INSTALLED,SEC_DISC_REQ,SUBSIDENCE,YEARBUILT,PAYMENT_METHOD,PAYMENT_FREQUENCY,LEGAL_ADDON_PRE_REN,LEGAL_ADDON_POST_REN,HOME_EM_ADDON_PRE_REN,HOME_EM_ADDON_POST_REN,GARDEN_ADDON_PRE_REN,GARDEN_ADDON_POST_REN,KEYCARE_ADDON_PRE_REN,KEYCARE_ADDON_POST_REN,HP1_ADDON_PRE_REN,HP1_ADDON_POST_REN,HP2_ADDON_PRE_REN,HP2_ADDON_POST_REN,HP3_ADDON_PRE_REN,HP3_ADDON_POST_REN,MTA_FLAG,MTA_FAP,MTA_APRP,LAST_ANN_PREM_GROSS,POL_STATUS,P1_AGE,PROP_AGE,DAYS_TO_BIND,DAYS_SINCE_MTA,HAS_ADJUSTED,HAS_MTA,IS_STANDARD_OCCUPANCY,HAS_PT_EMP,MAR_STATUS_Couple,MAR_STATUS_Solo,QUOTE_MONTH,QUOTE_WEEKDAY,EMP_STATUS_Carer,EMP_STATUS_Disabled,EMP_STATUS_Employed,EMP_STATUS_Houseperson,EMP_STATUS_None,EMP_STATUS_Other,EMP_STATUS_Student,EMP_STATUS_Unemployed,EMP_STATUS_Voluntary
0,0,0,1,14.0,1000000.0,7.0,1,7.0,50000.0,7.0,1,1,0.0,0.0,13.24,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1960.0,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,212.74,212.74,212.74,1,56,47.0,21,-1.0,0,0,1,0,1,0,11,2,0,0,1,0,0,0,0,0,0
0,0,0,0,9.0,0.0,0.0,1,6.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,1.0,0,1,0,1946.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115.38,0.0,115.38,0,42,61.0,18,-1.0,0,0,1,0,1,0,11,3,0,0,1,0,0,0,0,0,0
0,0,0,1,8.0,1000000.0,7.0,1,4.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,0,4.0,11.0,15.0,1,3.0,0.0,1,8.0,0.0,2.0,0,0,0,1990.0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,253.71,0,55,17.0,13,-1.0,0,0,1,0,1,0,11,2,0,0,1,0,0,0,0,0,0
0,0,0,1,3.0,1000000.0,7.0,1,8.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,1,8.0,0.0,10.0,0,1,0,1920.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,223.57,0,53,87.0,3,-1.0,0,0,1,0,1,0,11,1,0,0,1,0,0,0,0,0,0
1,0,0,1,1.0,1000000.0,7.0,1,5.0,50000.0,5.0,1,1,3920.0,24.97,23.21,0,0,1,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,10.0,0,1,0,1960.0,1,1.0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,305.5,305.5,305.5,0,56,47.0,14,-1.0,0,0,1,0,1,0,11,0,0,0,1,0,0,0,0,0,0
0,0,0,1,12.0,1000000.0,3.0,1,2.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1946.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245.94,245.94,245.94,0,56,61.0,18,-1.0,0,0,1,0,1,0,11,5,0,0,1,0,0,0,0,0,0
0,0,0,1,0.0,1000000.0,7.0,1,0.0,50000.0,5.0,1,1,0.0,0.0,0.0,0,0,1,1,5.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,1.0,0,1,0,2000.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,217.51,217.51,217.51,0,39,7.0,34,-1.0,0,0,1,0,1,0,11,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0.0,1000000.0,7.0,1,0.0,50000.0,7.0,1,1,5000.0,39.03,33.27,0,0,1,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1920.0,1,1.0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,486.11,0,62,87.0,23,-1.0,0,0,1,0,1,0,12,2,0,0,1,0,0,0,0,0,0
0,0,0,1,0.0,1000000.0,7.0,1,0.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,4.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,18.0,0,1,0,1960.0,1,1.0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,316.35,316.35,316.35,0,51,48.0,19,-1.0,0,0,1,0,1,0,12,3,0,0,1,0,0,0,0,0,0
0,0,0,1,4.0,1000000.0,7.0,1,8.0,50000.0,7.0,1,1,5750.0,17.39,24.04,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,2.0,0,1,0,1920.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,431.5,1,59,88.0,22,-1.0,0,0,1,0,1,0,12,0,0,0,1,0,0,0,0,0,0
